n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
1952.0,2.0,46.0,639.0,526.0,621.0,166.0,0.2694672131147541,27.0,1384.0,0.9969351498960642,0.0,3.0,166.0
1950.0,2.0,48.0,637.0,529.0,615.0,169.0,0.2712820512820513,38.0,1422.0,0.9969017494118921,0.0,3.0,169.0
1948.0,2.0,50.0,650.0,536.0,616.0,146.0,0.2751540041067762,31.0,1453.0,0.996867128037707,0.0,3.0,146.0
1948.0,0.0,52.0,649.0,530.0,627.0,142.0,0.2720739219712526,35.0,1488.0,0.996839411398162,0.0,3.0,142.0
1947.0,1.0,52.0,659.0,523.0,624.0,141.0,0.26861838726245507,29.0,1517.0,0.9968139728675336,0.0,3.0,141.0
1945.0,2.0,53.0,641.0,517.0,619.0,168.0,0.26580976863753214,45.0,1562.0,0.9967882561188905,0.0,3.0,168.0
1942.0,3.0,55.0,644.0,519.0,615.0,164.0,0.26725025746652936,29.0,1591.0,0.9967511060308113,0.0,3.0,164.0
1941.0,1.0,58.0,656.0,530.0,610.0,145.0,0.27305512622359607,41.0,1632.0,0.9967224049301675,0.0,3.0,145.0
1937.0,4.0,59.0,662.0,530.0,604.0,141.0,0.27361899845121324,38.0,1670.0,0.9966964979633806,0.0,3.0,141.0
1934.0,3.0,63.0,647.0,536.0,586.0,165.0,0.27714581178903824,34.0,1704.0,0.9966662596761828,0.0,3.0,165.0
1930.0,4.0,66.0,641.0,552.0,575.0,162.0,0.2860103626943005,41.0,1745.0,0.9966220666838937,0.0,3.0,162.0
1929.0,1.0,70.0,637.0,552.0,588.0,152.0,0.28615863141524106,40.0,1785.0,0.9965913657052485,0.0,3.0,152.0
1928.0,1.0,71.0,628.0,553.0,597.0,150.0,0.2868257261410788,35.0,1820.0,0.9965635030829808,0.0,3.0,150.0
1928.0,0.0,72.0,613.0,530.0,615.0,170.0,0.274896265560166,33.0,1853.0,0.9965343539957718,0.0,3.0,170.0
1925.0,3.0,72.0,619.0,547.0,604.0,155.0,0.28415584415584416,40.0,1893.0,0.9965013679742358,0.0,3.0,155.0
1922.0,3.0,75.0,616.0,568.0,591.0,147.0,0.29552549427679503,43.0,1936.0,0.9964758525600892,0.0,3.0,147.0
1922.0,0.0,78.0,605.0,588.0,592.0,137.0,0.3059313215400624,38.0,1974.0,0.9964449302800165,0.0,3.0,137.0
1921.0,1.0,78.0,600.0,575.0,607.0,139.0,0.2993232691306611,39.0,2013.0,0.9964199228051178,0.0,3.0,139.0
1919.0,2.0,79.0,618.0,588.0,587.0,126.0,0.3064095883272538,38.0,2051.0,0.9963941155784652,0.0,3.0,127.0
1919.0,0.0,81.0,618.0,590.0,568.0,143.0,0.30745179781136006,23.0,2074.0,0.9963690530263666,0.0,3.0,143.0
1918.0,1.0,81.0,594.0,578.0,585.0,161.0,0.3013555787278415,30.0,2104.0,0.9963348036167109,0.0,3.0,161.0
1918.0,0.0,82.0,580.0,587.0,601.0,150.0,0.30604796663190825,43.0,2147.0,0.9962994970021907,0.0,3.0,150.0
1917.0,1.0,82.0,581.0,582.0,621.0,133.0,0.30359937402190923,28.0,2175.0,0.9962676066359976,0.0,3.0,133.0
1915.0,2.0,83.0,583.0,563.0,629.0,140.0,0.2939947780678851,42.0,2217.0,0.9962452987494889,0.0,3.0,140.0
1912.0,3.0,85.0,563.0,558.0,642.0,149.0,0.2918410041841004,35.0,2252.0,0.9962185439007641,0.0,3.0,149.0
1911.0,1.0,88.0,566.0,567.0,664.0,114.0,0.2967032967032967,30.0,2282.0,0.9961842836236876,0.0,3.0,115.0
1909.0,2.0,89.0,589.0,551.0,653.0,116.0,0.2886327920377161,30.0,2312.0,0.9961678897922833,0.0,3.0,116.0
