n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
1950.0,1.0,49.0,650.0,492.0,634.0,174.0,0.2523076923076923,34.0,1341.0,0.9938688339767268,0.0,9.0,174.0
1948.0,2.0,50.0,640.0,486.0,639.0,183.0,0.24948665297741274,30.0,1371.0,0.9938306869465897,0.0,9.0,183.0
1945.0,3.0,52.0,649.0,496.0,622.0,178.0,0.255012853470437,47.0,1418.0,0.9937933911843677,0.0,9.0,179.0
1941.0,4.0,55.0,645.0,507.0,646.0,143.0,0.26120556414219476,48.0,1466.0,0.9937589708072246,0.0,9.0,145.0
1938.0,3.0,59.0,648.0,492.0,651.0,147.0,0.25386996904024767,19.0,1485.0,0.9937345111617073,0.0,9.0,148.0
1938.0,0.0,62.0,641.0,495.0,648.0,154.0,0.25541795665634676,30.0,1515.0,0.9937057001512057,0.0,9.0,154.0
1936.0,2.0,62.0,656.0,504.0,628.0,148.0,0.2603305785123967,36.0,1551.0,0.9936725769380049,0.0,9.0,148.0
1934.0,2.0,64.0,665.0,512.0,616.0,141.0,0.2647362978283351,35.0,1586.0,0.9936402597783666,0.0,9.0,141.0
1933.0,1.0,66.0,688.0,487.0,618.0,140.0,0.25193998965338854,34.0,1620.0,0.993614836753534,0.0,9.0,141.0
1930.0,3.0,67.0,698.0,489.0,591.0,152.0,0.2533678756476684,34.0,1654.0,0.9935881187019935,0.0,9.0,153.0
1927.0,3.0,70.0,687.0,500.0,569.0,171.0,0.2594706798131811,42.0,1696.0,0.9935172158615607,0.0,9.0,172.0
1922.0,5.0,73.0,669.0,526.0,566.0,161.0,0.2736732570239334,45.0,1741.0,0.9934796774991175,0.0,9.0,161.0
1921.0,1.0,78.0,647.0,541.0,567.0,166.0,0.28162415408641334,47.0,1788.0,0.9934455578109518,0.0,9.0,166.0
1920.0,1.0,79.0,649.0,549.0,574.0,148.0,0.2859375,35.0,1823.0,0.993407637427959,0.0,9.0,148.0
1919.0,1.0,80.0,648.0,555.0,564.0,152.0,0.28921313183949976,40.0,1863.0,0.9933818681729727,0.0,9.0,152.0
1919.0,0.0,81.0,650.0,565.0,561.0,143.0,0.2944241792600313,35.0,1898.0,0.9933511961262552,0.0,9.0,143.0
1918.0,1.0,81.0,629.0,556.0,594.0,139.0,0.28988529718456724,30.0,1928.0,0.9933192597134506,0.0,9.0,139.0
1916.0,2.0,82.0,623.0,534.0,620.0,139.0,0.278705636743215,29.0,1957.0,0.9932927454433871,0.0,9.0,139.0
1912.0,4.0,84.0,614.0,529.0,639.0,130.0,0.276673640167364,33.0,1990.0,0.9932674967447592,0.0,9.0,130.0
1910.0,2.0,88.0,617.0,540.0,613.0,140.0,0.28272251308900526,35.0,2025.0,0.9932450426419321,0.0,9.0,140.0
1910.0,0.0,90.0,607.0,546.0,607.0,150.0,0.2858638743455497,30.0,2055.0,0.9931764115480409,0.0,9.0,150.0
1908.0,2.0,90.0,628.0,535.0,605.0,140.0,0.280398322851153,33.0,2088.0,0.9931476814357316,0.0,9.0,140.0
1905.0,3.0,92.0,620.0,532.0,611.0,142.0,0.27926509186351706,38.0,2126.0,0.9931238795279409,0.0,9.0,142.0
1904.0,1.0,95.0,609.0,539.0,601.0,155.0,0.28308823529411764,35.0,2161.0,0.9930961410519801,0.0,9.0,155.0
1896.0,8.0,96.0,612.0,553.0,598.0,133.0,0.2916666666666667,41.0,2202.0,0.9930619071961247,0.0,9.0,133.0
1895.0,1.0,104.0,588.0,546.0,617.0,144.0,0.28812664907651714,35.0,2237.0,0.9930362830156528,0.0,9.0,144.0
1891.0,4.0,105.0,578.0,561.0,612.0,140.0,0.2966684294024326,31.0,2268.0,0.9930025878821245,0.0,9.0,141.0
1890.0,1.0,109.0,583.0,554.0,630.0,123.0,0.2931216931216931,47.0,2315.0,0.9929738656383057,0.0,9.0,123.0
1886.0,4.0,110.0,566.0,533.0,645.0,142.0,0.2826086956521739,35.0,2350.0,0.9929505903763568,0.0,9.0,143.0
1884.0,2.0,114.0,575.0,544.0,629.0,136.0,0.28874734607218683,29.0,2379.0,0.9929218172619225,0.0,9.0,137.0
1884.0,0.0,116.0,582.0,551.0,618.0,133.0,0.2924628450106157,32.0,2411.0,0.9928422581006214,0.0,9.0,133.0
